Country,Region,Happiness Rank,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Happiness Score
India,Southern Asia,118,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,4.404
Myanmar,Southeastern Asia,119,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,4.395
Egypt,Middle East and Northern Africa,120,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,4.362
Armenia,Central and Eastern Europe,121,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,4.36
Kenya,Sub-Saharan Africa,122,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,4.356
Ukraine,Central and Eastern Europe,123,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,4.324
Ghana,Sub-Saharan Africa,124,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,4.276
Congo (Kinshasa),Sub-Saharan Africa,125,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,4.272
Georgia,Central and Eastern Europe,126,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,4.252
Congo (Brazzaville),Sub-Saharan Africa,127,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,4.236
Senegal,Sub-Saharan Africa,128,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,4.219
Bulgaria,Central and Eastern Europe,129,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,4.217
Mauritania,Sub-Saharan Africa,130,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,4.201
Zimbabwe,Sub-Saharan Africa,131,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,4.193
Malawi,Sub-Saharan Africa,132,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,4.156
Sudan,Sub-Saharan Africa,133,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,4.139
Gabon,Sub-Saharan Africa,134,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,4.121
Mali,Sub-Saharan Africa,135,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,4.073
Haiti,Latin America and Caribbean,136,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,4.028
Botswana,Sub-Saharan Africa,137,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,3.974
Comoros,Sub-Saharan Africa,138,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,3.956
Ivory Coast,Sub-Saharan Africa,139,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,3.916
Cambodia,Southeastern Asia,140,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,3.907
Angola,Sub-Saharan Africa,141,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,3.866
Niger,Sub-Saharan Africa,142,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,3.856
South Sudan,Sub-Saharan Africa,143,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,3.832
Chad,Sub-Saharan Africa,144,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,3.763
Burkina Faso,Sub-Saharan Africa,145,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,3.739
Uganda,Sub-Saharan Africa,145,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,3.739
Yemen,Middle East and Northern Africa,147,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,3.724
Madagascar,Sub-Saharan Africa,148,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,3.695
Tanzania,Sub-Saharan Africa,149,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,3.666
Liberia,Sub-Saharan Africa,150,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,3.622
Guinea,Sub-Saharan Africa,151,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,3.607
Rwanda,Sub-Saharan Africa,152,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,3.515
Benin,Sub-Saharan Africa,153,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,3.484
Afghanistan,Southern Asia,154,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,3.36
Togo,Sub-Saharan Africa,155,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,3.303
Syria,Middle East and Northern Africa,156,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,3.069
Burundi,Sub-Saharan Africa,157,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,2.905
