cuisine,location,name,price,ratings,tags
"Desserts,Fast Food,Beverages", 203| 1st Main| Koramangala 7th Block| Bangalore,Lot Like Crepes,550.0,"4.9,4.1",Dessert Parlor
"Beverages,Sandwich,Desserts", 766/25 1| 47th A Cross| Near Sangam Circle| Adarsh Gardens Apartments Road| 8th Block| Jayanagar| Bangalore,Shakes Theory,400.0,"4.2,4.7",Beverage Shop
"North Indian,Mughlai,Lucknowi", Radisson Blu| 90/4| Outer Ring Road| Munnekollalu Village| Marathahalli| Bangalore,Saffron - Radisson Blu,2500.0,4.5,"Fine Dining,Bar"
"American,North Indian,Finger Food,Continental,Italian", 413| 100 Feet Road| Koramangala 4th Block| Bangalore,Myu Bar At Gilly's Redefined,1500.0,4.5,Microbrewery
"South Indian,Biryani", 718| 1st C Main| 45th Cross| 8th Block| Jayanagar| Bangalore,Shivaji Military Hotel,450.0,4.4,Quick Bites
"Portuguese,Wraps,Burger,Salad", 1088| 12th Main| HAL 2nd Stage| Off 100 Feet Road| Indiranagar| Bangalore,Nando's,1200.0,"4.5,4.2",Casual Dining
"Continental,North Indian,Italian,South Indian,Finger Food,Pizza", Opposite MK Retail| Sarjapur Road| Bangalore,Byg Brewski Brewing Company,1600.0,"4.7,4.0",Microbrewery
"Pizza,Italian,Beverages", 2985| 12th Main| HAL 2nd Stage| Indiranagar| Bangalore,The Pizza Bakery - Brew & Eatery,1200.0,"4.6,4.1",Casual Dining
"Italian,American,Modern Indian", 298| 100 Feet Road| Namma Metro Pillar 62| Indiranagar| Bangalore,Toit,2000.0,"4.8,3.9",Microbrewery
"Asian,Japanese,Thai,Burmese,Korean,Indonesian,Vietnamese,Singaporean", 4th Floor| Building 9| Halcyon Complex| St. Marks Road| Bangalore,MISU,1700.0,"4.6,4.2",Bar
"Chinese,Italian,Asian,Continental", 626| 4th Floor| Aditya Tower| 80 Feet Road| Vinayaka Layout| 4th Stage| Nagarbhavi| Bangalore,Cloud Cafe,1000.0,4.4,Casual Dining
